Thales|Everything is water in one form or another.
Derek Parfit|To be a person, a being must be self-conscious, aware of its identity and its continued existence over time.
Derek Parfit|Persons are constituted by, but not identical with, a physiology, a psychology, and the occurrence of a series of causal and cognitive relations.
Derek Parfit|Personal identity is not what matters in survival over time; what matters is psychological connectedness and/or continuity (‘Relation R’).
Derek Parfit|Since my much later self would be more like a different person than me, how I treat him should fall under the rubric of morality, not self-interest.
Derek Parfit|Only my current (not past or future) desires/aims that are not intrinsically irrational directly generate reasons for my acting.
Derek Parfit|My death only involves that after a certain time, none of the thoughts and experiences that occur will be directly causally related to this brain.
Derek Parfit|If any particular person had not been conceived when they were in fact conceived, it is in fact true that they would never have existed.
Derek Parfit|A change in the identity of the involved parties in the compared outcomes should not affect our moral evaluation.
Derek Parfit|For any population with members having good lives, there can be some larger population whose total happiness is higher, but with members with terrible lives.
Derek Parfit|Consequentialism, Kantianism, and Contractualism ultimately converge on the same answers; they can be incorporated into a single Triple Theory.
Derek Parfit|An act is wrong just when such acts are disallowed by some principle that is optimific, uniquely universally willable, and not reasonably rejectable.
Derek Parfit|Normative truths and our knowledge of them are of a distinctive kind; we should not expect them to be like ordinary, empirical truths and their knowledge.
Derek Parfit|Our wealth is legally ours, but the poorest people have much stronger moral claims to some of this wealth.
Richard Dawkins|The fundamental units of natural selection, the things that survive or fail to survive, that form lineages of copies with random mutations, are genes.
Richard Dawkins|We are survival machines – robot ‘vehicles’ blindly programmed to preserve the ‘selfish’ molecules (‘replicators’) known as genes.
Richard Dawkins|An animal’s behaviour tends to maximize the survival of the genes “for” that behaviour, whether or not those genes are in its body.
Richard Dawkins|Genes can have ‘extended’ phenotypic effects when ‘vehicles’ modify their environment (nests, dams, etc.) or manipulate other organisms.
